customer_id,customer_name,customer_type,email,phone,city,state,pin_code,division,created_at
CUST100001,Customer_1,Individual,customer1@example.com,9022768040,Chennai,Tamil Nadu,501652,Dealers,2024-03-08 03:42:04
CUST100002,Customer_2,Individual,customer2@example.com,9714227133,Pune,Uttar Pradesh,204190,Projects,2025-09-03 13:23:25
CUST100003,Customer_3,Organization,customer3@example.com,9570220212,Surat,Maharashtra,136760,BrandStore,2023-09-23 20:30:40
CUST100004,Customer_4,Individual,customer4@example.com,9139656872,Mumbai,Maharashtra,409572,Distributors,2024-09-06 14:13:34
CUST100005,Customer_5,Organization,customer5@example.com,9117574539,Bengaluru,Rajasthan,478116,Dealers,2023-04-09 16:29:04
CUST100006,Customer_6,Organization,customer6@example.com,9395980765,Kolkata,Gujarat,321077,Dealers,2023-10-05 12:37:29
CUST100007,Customer_7,Individual,customer7@example.com,9826617575,Mumbai,Uttar Pradesh,309883,Retail,2024-01-10 04:20:37
CUST100008,Customer_8,Individual,customer8@example.com,9040771452,Lucknow,Gujarat,997673,BrandStore,2025-10-06 13:12:36
CUST100009,Customer_9,Organization,customer9@example.com,9451235220,Surat,Maharashtra,298026,Industrial,2025-04-17 16:05:53
CUST100010,Customer_10,Individual,customer10@example.com,9785244063,Ahmedabad,Telangana,806607,LocalShop,2023-06-19 17:50:41
CUST100011,Customer_11,Individual,customer11@example.com,9151148088,Delhi,Maharashtra,650072,Distributors,2025-01-24 10:00:48
CUST100012,Customer_12,Organization,customer12@example.com,9240392744,Nagpur,Rajasthan,641207,Retail,2024-05-02 04:02:05
CUST100013,Customer_13,Individual,customer13@example.com,9049505800,Chennai,Gujarat,182564,Dealers,2025-05-28 01:11:13
CUST100014,Customer_14,Organization,customer14@example.com,9927236237,Delhi,Maharashtra,499022,Projects,2023-04-17 20:43:33
CUST100015,Customer_15,Individual,customer15@example.com,9318769608,Kolkata,Gujarat,182871,Projects,2025-07-28 13:41:25
CUST100016,Customer_16,Individual,customer16@example.com,9726249804,Kolkata,Maharashtra,076275,Distributors,2025-05-21 08:07:25
CUST100017,Customer_17,Individual,customer17@example.com,9196103540,Pune,Maharashtra,822178,Distributors,2025-08-22 03:56:17
CUST100018,Customer_18,Individual,customer18@example.com,9921714197,Ahmedabad,Gujarat,882718,LocalShop,2025-01-01 04:35:45
CUST100019,Customer_19,Individual,customer19@example.com,9193882632,Delhi,West Bengal,356830,Projects,2023-10-05 09:29:26
CUST100020,Customer_20,Organization,customer20@example.com,9053749181,Mumbai,Maharashtra,458697,Industrial,2024-07-19 19:09:38
CUST100021,Customer_21,Organization,customer21@example.com,9063387334,Ahmedabad,Maharashtra,214969,Dealers,2025-06-03 01:46:54
CUST100022,Customer_22,Organization,customer22@example.com,9483276346,Jaipur,Telangana,797626,Dealers,2024-06-04 16:43:26
CUST100023,Customer_23,Individual,customer23@example.com,9876210248,Delhi,Telangana,461642,BrandStore,2025-12-04 04:25:18
CUST100024,Customer_24,Individual,customer24@example.com,9888728645,Delhi,Telangana,145537,Distributors,2025-08-09 17:20:02
CUST100025,Customer_25,Organization,customer25@example.com,9858742267,Jaipur,Telangana,620223,Dealers,2023-05-06 04:09:10
CUST100026,Customer_26,Individual,customer26@example.com,9131243408,Ahmedabad,Uttar Pradesh,908549,Projects,2024-08-28 19:45:21
CUST100027,Customer_27,Organization,customer27@example.com,9577842436,Ahmedabad,Maharashtra,141603,Dealers,2025-10-26 22:25:21
CUST100028,Customer_28,Individual,customer28@example.com,9048123438,Kolkata,Gujarat,200593,BrandStore,2023-04-17 14:16:41
CUST100029,Customer_29,Individual,customer29@example.com,9791011652,Nagpur,West Bengal,716718,Projects,2023-06-17 22:12:48
CUST100030,Customer_30,Individual,customer30@example.com,9959391582,Nagpur,West Bengal,861973,Distributors,2025-10-24 15:18:11
CUST100031,Customer_31,Organization,customer31@example.com,9060444384,Bengaluru,Gujarat,156697,Distributors,2024-11-07 15:23:38
CUST100032,Customer_32,Organization,customer32@example.com,9329247563,Hyderabad,Maharashtra,127387,Projects,2025-05-13 09:23:29
CUST100033,Customer_33,Individual,customer33@example.com,9512452474,Mumbai,Delhi,242635,Projects,2024-10-22 23:55:54
CUST100034,Customer_34,Organization,customer34@example.com,9343273796,Chennai,Tamil Nadu,725759,LocalShop,2023-10-29 13:13:40
CUST100035,Customer_35,Organization,customer35@example.com,9210529561,Hyderabad,Delhi,854410,LocalShop,2025-01-12 03:02:06
CUST100036,Customer_36,Individual,customer36@example.com,9840601539,Delhi,Rajasthan,767254,Distributors,2024-04-06 22:07:41
CUST100037,Customer_37,Organization,customer37@example.com,9366792261,Bengaluru,Rajasthan,004522,BrandStore,2024-03-15 04:30:17
CUST100038,Customer_38,Organization,customer38@example.com,9022758112,Bengaluru,West Bengal,801375,Projects,2024-11-13 04:49:38
CUST100039,Customer_39,Individual,customer39@example.com,9434254587,Lucknow,West Bengal,026850,LocalShop,2025-11-10 08:28:26
CUST100040,Customer_40,Organization,customer40@example.com,9571542948,Delhi,Telangana,336836,Projects,2025-10-26 06:54:16
CUST100041,Customer_41,Organization,customer41@example.com,9854339459,Surat,Rajasthan,405644,Retail,2023-11-13 05:12:04
CUST100042,Customer_42,Organization,customer42@example.com,9594619621,Jaipur,Maharashtra,509941,LocalShop,2023-08-28 04:27:34
CUST100043,Customer_43,Organization,customer43@example.com,9927444411,Lucknow,Rajasthan,710783,LocalShop,2025-02-27 17:49:57
CUST100044,Customer_44,Organization,customer44@example.com,9822594153,Jaipur,Rajasthan,398923,LocalShop,2024-09-30 02:48:20
CUST100045,Customer_45,Individual,customer45@example.com,9349397619,Bengaluru,Rajasthan,931809,Retail,2023-08-12 22:30:12
CUST100046,Customer_46,Organization,customer46@example.com,9890726303,Surat,Rajasthan,337780,Retail,2023-12-31 16:52:08
CUST100047,Customer_47,Organization,customer47@example.com,9974068469,Mumbai,Maharashtra,723155,LocalShop,2023-10-07 17:00:26
CUST100048,Customer_48,Individual,customer48@example.com,9163645264,Surat,Maharashtra,842509,Dealers,2024-04-09 17:16:43
CUST100049,Customer_49,Organization,customer49@example.com,9643981332,Nagpur,West Bengal,083087,Retail,2025-07-31 00:28:21
CUST100050,Customer_50,Organization,customer50@example.com,9897282127,Surat,Gujarat,869634,Dealers,2024-07-20 19:00:45
CUST100051,Customer_51,Individual,customer51@example.com,9027115959,Bengaluru,West Bengal,999288,Distributors,2023-04-27 23:21:49
CUST100052,Customer_52,Individual,customer52@example.com,9726638503,Kolkata,Rajasthan,137236,Projects,2023-06-18 07:26:07
CUST100053,Customer_53,Individual,customer53@example.com,9469366647,Surat,Gujarat,100912,Dealers,2023-07-30 17:55:20
CUST100054,Customer_54,Organization,customer54@example.com,9467947140,Hyderabad,Uttar Pradesh,490349,LocalShop,2024-07-17 09:54:56
CUST100055,Customer_55,Individual,customer55@example.com,9939602998,Delhi,Gujarat,269039,LocalShop,2025-05-27 00:59:33
CUST100056,Customer_56,Individual,customer56@example.com,9072283190,Bengaluru,Karnataka,571813,LocalShop,2024-01-05 14:43:59
CUST100057,Customer_57,Organization,customer57@example.com,9021410435,Hyderabad,Rajasthan,267963,BrandStore,2023-02-18 09:22:48
CUST100058,Customer_58,Individual,customer58@example.com,9984174831,Bengaluru,West Bengal,657352,Dealers,2025-07-29 11:56:48
CUST100059,Customer_59,Organization,customer59@example.com,9078677242,Pune,Telangana,373329,BrandStore,2025-01-06 17:59:18
CUST100060,Customer_60,Individual,customer60@example.com,9004731095,Surat,Delhi,489490,Projects,2025-07-21 16:54:38
CUST100061,Customer_61,Organization,customer61@example.com,9352621837,Lucknow,Tamil Nadu,889866,Retail,2025-08-04 00:58:33
CUST100062,Customer_62,Organization,customer62@example.com,9027931160,Nagpur,Gujarat,905341,Projects,2024-05-18 21:52:14
CUST100063,Customer_63,Individual,customer63@example.com,9817004464,Chennai,Rajasthan,142646,Retail,2023-12-09 13:31:23
CUST100064,Customer_64,Organization,customer64@example.com,9902977214,Ahmedabad,Karnataka,152563,Distributors,2023-03-07 17:08:33
CUST100065,Customer_65,Organization,customer65@example.com,9098557410,Pune,Karnataka,868908,Industrial,2024-11-07 19:11:53
CUST100066,Customer_66,Organization,customer66@example.com,9533331515,Pune,Maharashtra,788211,Dealers,2023-08-26 11:23:55
CUST100067,Customer_67,Individual,customer67@example.com,9174774956,Lucknow,Maharashtra,861043,Projects,2025-07-07 17:43:36
CUST100068,Customer_68,Individual,customer68@example.com,9304032690,Lucknow,Rajasthan,359709,Dealers,2025-10-09 14:15:42
CUST100069,Customer_69,Individual,customer69@example.com,9341018375,Bengaluru,Maharashtra,244513,Projects,2024-08-24 19:56:10
CUST100070,Customer_70,Organization,customer70@example.com,9760633532,Surat,Uttar Pradesh,835139,BrandStore,2025-10-25 14:11:16
CUST100071,Customer_71,Organization,customer71@example.com,9170563179,Surat,Rajasthan,065039,Projects,2025-01-25 09:29:38
CUST100072,Customer_72,Individual,customer72@example.com,9210817880,Pune,Uttar Pradesh,131878,Industrial,2024-11-10 21:38:50
CUST100073,Customer_73,Individual,customer73@example.com,9462427453,Hyderabad,Tamil Nadu,399423,Dealers,2024-10-12 08:48:24
CUST100074,Customer_74,Individual,customer74@example.com,9881268518,Delhi,West Bengal,014580,Industrial,2024-12-01 19:16:13
CUST100075,Customer_75,Organization,customer75@example.com,9943330230,Nagpur,Gujarat,310948,LocalShop,2024-12-29 17:41:35
CUST100076,Customer_76,Organization,customer76@example.com,9690219647,Chennai,West Bengal,126608,Distributors,2025-07-16 00:02:38
CUST100077,Customer_77,Individual,customer77@example.com,9657203516,Jaipur,Maharashtra,055953,Distributors,2023-03-09 15:04:51
CUST100078,Customer_78,Organization,customer78@example.com,9920737677,Pune,Karnataka,058174,BrandStore,2025-01-13 08:56:06
CUST100079,Customer_79,Individual,customer79@example.com,9807420109,Jaipur,Gujarat,952713,LocalShop,2023-03-16 06:15:48
CUST100080,Customer_80,Organization,customer80@example.com,9274449316,Pune,Rajasthan,204491,Projects,2024-05-13 23:37:48
CUST100081,Customer_81,Individual,customer81@example.com,9063646308,Pune,Uttar Pradesh,929906,Projects,2025-03-08 01:13:59
CUST100082,Customer_82,Individual,customer82@example.com,9916700733,Lucknow,Maharashtra,669375,Dealers,2024-07-24 00:53:08
CUST100083,Customer_83,Organization,customer83@example.com,9329015917,Nagpur,Telangana,266921,Retail,2024-12-03 05:22:22
CUST100084,Customer_84,Individual,customer84@example.com,9840683305,Kolkata,Karnataka,796751,Industrial,2023-08-04 17:42:18
CUST100085,Customer_85,Individual,customer85@example.com,9705385603,Nagpur,Maharashtra,444513,Retail,2024-11-30 00:15:54
CUST100086,Customer_86,Organization,customer86@example.com,9638761949,Mumbai,Delhi,531929,Dealers,2024-03-17 06:05:18
CUST100087,Customer_87,Individual,customer87@example.com,9265135519,Bengaluru,Karnataka,676858,Retail,2023-05-07 04:12:27
CUST100088,Customer_88,Individual,customer88@example.com,9972256085,Surat,West Bengal,486200,Distributors,2024-10-07 15:30:06
CUST100089,Customer_89,Organization,customer89@example.com,9431839337,Jaipur,Rajasthan,121410,Distributors,2025-08-13 22:56:02
CUST100090,Customer_90,Organization,customer90@example.com,9281353745,Hyderabad,West Bengal,403425,Retail,2023-03-20 12:16:58
CUST100091,Customer_91,Organization,customer91@example.com,9486458487,Ahmedabad,Maharashtra,005323,Distributors,2025-05-04 04:09:29
CUST100092,Customer_92,Organization,customer92@example.com,9866103953,Bengaluru,Tamil Nadu,640078,Dealers,2024-12-10 21:46:06
CUST100093,Customer_93,Individual,customer93@example.com,9653619723,Jaipur,Rajasthan,454031,Distributors,2025-06-25 17:59:35
CUST100094,Customer_94,Organization,customer94@example.com,9776049775,Nagpur,Maharashtra,516681,BrandStore,2024-01-12 05:44:32
CUST100095,Customer_95,Individual,customer95@example.com,9571444256,Hyderabad,Maharashtra,775594,Distributors,2024-05-02 09:32:40
CUST100096,Customer_96,Individual,customer96@example.com,9455686824,Chennai,West Bengal,529222,BrandStore,2025-01-29 15:21:22
CUST100097,Customer_97,Organization,customer97@example.com,9459725583,Pune,Karnataka,227342,Distributors,2023-11-29 10:00:23
CUST100098,Customer_98,Individual,customer98@example.com,9825217209,Chennai,Gujarat,213461,Dealers,2023-09-03 08:28:12
CUST100099,Customer_99,Organization,customer99@example.com,9684672207,Surat,Uttar Pradesh,278094,LocalShop,2023-10-01 01:52:40
CUST100100,Customer_100,Individual,customer100@example.com,9934999805,Delhi,Maharashtra,295498,Distributors,2024-02-28 20:06:13
CUST100101,Customer_101,Individual,customer101@example.com,9837670326,Chennai,Karnataka,664434,Retail,2023-10-15 01:08:32
CUST100102,Customer_102,Individual,customer102@example.com,9490342355,Kolkata,Gujarat,326416,BrandStore,2024-04-28 02:05:53
CUST100103,Customer_103,Individual,customer103@example.com,9693294493,Nagpur,Rajasthan,978876,Dealers,2023-05-08 04:20:46
CUST100104,Customer_104,Organization,customer104@example.com,9539189251,Jaipur,Telangana,125058,Distributors,2023-07-24 23:14:29
CUST100105,Customer_105,Organization,customer105@example.com,9404873875,Mumbai,Gujarat,309909,Retail,2024-03-21 23:31:02
CUST100106,Customer_106,Organization,customer106@example.com,9116793849,Ahmedabad,Gujarat,098181,Dealers,2024-09-02 14:17:16
CUST100107,Customer_107,Individual,customer107@example.com,9720026558,Chennai,Telangana,329718,Distributors,2025-08-13 05:59:55
CUST100108,Customer_108,Individual,customer108@example.com,9205468204,Jaipur,Tamil Nadu,771929,Dealers,2024-05-10 09:35:29
CUST100109,Customer_109,Organization,customer109@example.com,9289542557,Bengaluru,Gujarat,650363,Dealers,2024-05-10 03:16:54
CUST100110,Customer_110,Organization,customer110@example.com,9421522814,Mumbai,Rajasthan,445323,Retail,2024-11-29 17:16:05
CUST100111,Customer_111,Organization,customer111@example.com,9071266817,Nagpur,Gujarat,548390,Industrial,2023-07-02 05:51:53
CUST100112,Customer_112,Organization,customer112@example.com,9967323246,Kolkata,West Bengal,384877,Projects,2023-11-12 13:08:30
CUST100113,Customer_113,Organization,customer113@example.com,9308705572,Chennai,Maharashtra,252593,LocalShop,2025-01-29 01:06:53
CUST100114,Customer_114,Organization,customer114@example.com,9473151899,Jaipur,Maharashtra,808001,BrandStore,2023-12-26 12:27:44
CUST100115,Customer_115,Individual,customer115@example.com,9705366644,Mumbai,Rajasthan,505290,LocalShop,2025-12-20 02:04:19
CUST100116,Customer_116,Organization,customer116@example.com,9891011582,Ahmedabad,Delhi,345926,LocalShop,2023-05-06 05:36:59
CUST100117,Customer_117,Individual,customer117@example.com,9035001447,Lucknow,Delhi,892965,Projects,2023-03-14 07:57:21
CUST100118,Customer_118,Individual,customer118@example.com,9625618021,Nagpur,Gujarat,925586,Dealers,2024-05-30 07:47:05
CUST100119,Customer_119,Organization,customer119@example.com,9719759048,Pune,Uttar Pradesh,793702,Distributors,2025-02-01 03:01:21
CUST100120,Customer_120,Individual,customer120@example.com,9394660677,Delhi,West Bengal,176731,Retail,2024-04-23 21:02:37
CUST100121,Customer_121,Organization,customer121@example.com,9321145403,Delhi,Uttar Pradesh,533230,Dealers,2024-01-13 02:05:49
CUST100122,Customer_122,Individual,customer122@example.com,9612211227,Pune,West Bengal,974641,Retail,2024-09-06 16:27:58
CUST100123,Customer_123,Organization,customer123@example.com,9838448653,Lucknow,Maharashtra,239926,Distributors,2025-06-13 14:20:08
CUST100124,Customer_124,Individual,customer124@example.com,9327391917,Mumbai,Maharashtra,474268,LocalShop,2024-09-27 13:54:14
CUST100125,Customer_125,Organization,customer125@example.com,9132143455,Jaipur,Rajasthan,984097,LocalShop,2025-04-14 01:18:21
CUST100126,Customer_126,Individual,customer126@example.com,9126165669,Pune,Gujarat,102756,Industrial,2024-11-23 11:49:44
CUST100127,Customer_127,Organization,customer127@example.com,9375530149,Delhi,Maharashtra,134244,Distributors,2025-12-18 09:13:02
CUST100128,Customer_128,Organization,customer128@example.com,9338186619,Chennai,Rajasthan,115924,Industrial,2023-10-17 13:00:29
CUST100129,Customer_129,Organization,customer129@example.com,9378440227,Delhi,Uttar Pradesh,181342,LocalShop,2025-01-30 09:17:07
CUST100130,Customer_130,Organization,customer130@example.com,9565386872,Lucknow,Uttar Pradesh,011316,Dealers,2024-08-26 10:57:37
CUST100131,Customer_131,Organization,customer131@example.com,9554459911,Kolkata,Karnataka,186894,Industrial,2024-08-19 10:28:34
