client_id,client_name,industry_segment,contact_person,contact_email,city,state,created_at
CLNT90001,IndustrialClient_1,Construction,Contact_1,client1@example.com,Ahmedabad,Maharashtra,2025-07-04 16:24:54
CLNT90002,IndustrialClient_2,Marine,Contact_2,client2@example.com,Lucknow,Gujarat,2025-08-15 03:28:05
CLNT90003,IndustrialClient_3,Aerospace,Contact_3,client3@example.com,Hyderabad,Telangana,2024-08-10 05:18:26
CLNT90004,IndustrialClient_4,Marine,Contact_4,client4@example.com,Ahmedabad,Maharashtra,2023-11-03 11:44:21
CLNT90005,IndustrialClient_5,Aerospace,Contact_5,client5@example.com,Delhi,Uttar Pradesh,2023-02-19 19:00:28
CLNT90006,IndustrialClient_6,Marine,Contact_6,client6@example.com,Pune,Maharashtra,2023-10-06 03:20:12
CLNT90007,IndustrialClient_7,Marine,Contact_7,client7@example.com,Ahmedabad,Delhi,2025-12-28 14:06:44
CLNT90008,IndustrialClient_8,Aerospace,Contact_8,client8@example.com,Bengaluru,Rajasthan,2023-03-06 20:08:07
CLNT90009,IndustrialClient_9,Marine,Contact_9,client9@example.com,Mumbai,Maharashtra,2023-03-07 01:02:57
CLNT90010,IndustrialClient_10,Automotive,Contact_10,client10@example.com,Kolkata,Gujarat,2023-05-04 20:48:13
CLNT90011,IndustrialClient_11,Automotive,Contact_11,client11@example.com,Jaipur,Maharashtra,2023-04-22 23:46:33
CLNT90012,IndustrialClient_12,Aerospace,Contact_12,client12@example.com,Surat,Uttar Pradesh,2023-09-12 11:48:12
CLNT90013,IndustrialClient_13,Marine,Contact_13,client13@example.com,Kolkata,Telangana,2025-09-11 17:55:32
CLNT90014,IndustrialClient_14,Aerospace,Contact_14,client14@example.com,Chennai,Maharashtra,2023-10-10 13:12:12
CLNT90015,IndustrialClient_15,Construction,Contact_15,client15@example.com,Hyderabad,Gujarat,2023-10-06 04:59:52
CLNT90016,IndustrialClient_16,Construction,Contact_16,client16@example.com,Hyderabad,Delhi,2023-03-12 11:57:51
CLNT90017,IndustrialClient_17,Automotive,Contact_17,client17@example.com,Chennai,Maharashtra,2025-05-31 19:05:08
CLNT90018,IndustrialClient_18,Construction,Contact_18,client18@example.com,Jaipur,West Bengal,2025-08-30 04:20:04
CLNT90019,IndustrialClient_19,Automotive,Contact_19,client19@example.com,Ahmedabad,Gujarat,2023-04-19 08:18:31
CLNT90020,IndustrialClient_20,Automotive,Contact_20,client20@example.com,Surat,West Bengal,2023-02-10 18:02:25
CLNT90021,IndustrialClient_21,Construction,Contact_21,client21@example.com,Chennai,Maharashtra,2025-08-25 04:55:22
CLNT90022,IndustrialClient_22,Automotive,Contact_22,client22@example.com,Hyderabad,Maharashtra,2023-08-06 10:50:56
CLNT90023,IndustrialClient_23,Marine,Contact_23,client23@example.com,Mumbai,Maharashtra,2025-08-20 10:07:19
CLNT90024,IndustrialClient_24,Aerospace,Contact_24,client24@example.com,Jaipur,Telangana,2024-02-06 03:08:57
CLNT90025,IndustrialClient_25,Marine,Contact_25,client25@example.com,Jaipur,Karnataka,2023-09-03 05:59:37
CLNT90026,IndustrialClient_26,Construction,Contact_26,client26@example.com,Nagpur,Gujarat,2025-09-27 19:06:23
CLNT90027,IndustrialClient_27,Aerospace,Contact_27,client27@example.com,Delhi,Maharashtra,2024-01-21 09:57:10
CLNT90028,IndustrialClient_28,Aerospace,Contact_28,client28@example.com,Mumbai,Maharashtra,2025-01-21 17:34:05
CLNT90029,IndustrialClient_29,Marine,Contact_29,client29@example.com,Chennai,Tamil Nadu,2024-05-16 15:21:33
CLNT90030,IndustrialClient_30,Aerospace,Contact_30,client30@example.com,Jaipur,Karnataka,2024-05-05 07:54:58
CLNT90031,IndustrialClient_31,Automotive,Contact_31,client31@example.com,Surat,Telangana,2025-02-13 08:56:46
CLNT90032,IndustrialClient_32,Construction,Contact_32,client32@example.com,Lucknow,Rajasthan,2025-01-20 20:38:36
CLNT90033,IndustrialClient_33,Construction,Contact_33,client33@example.com,Chennai,Gujarat,2023-12-09 20:37:12
CLNT90034,IndustrialClient_34,Marine,Contact_34,client34@example.com,Nagpur,Gujarat,2024-08-05 23:21:22
CLNT90035,IndustrialClient_35,Aerospace,Contact_35,client35@example.com,Pune,Maharashtra,2025-01-02 12:46:01
CLNT90036,IndustrialClient_36,Aerospace,Contact_36,client36@example.com,Jaipur,Rajasthan,2025-02-15 15:19:38
CLNT90037,IndustrialClient_37,Automotive,Contact_37,client37@example.com,Bengaluru,Gujarat,2025-09-27 16:01:07
CLNT90038,IndustrialClient_38,Marine,Contact_38,client38@example.com,Hyderabad,West Bengal,2024-08-25 21:31:30
CLNT90039,IndustrialClient_39,Automotive,Contact_39,client39@example.com,Chennai,Uttar Pradesh,2024-11-12 22:57:47
CLNT90040,IndustrialClient_40,Marine,Contact_40,client40@example.com,Delhi,Maharashtra,2025-04-12 07:15:02
CLNT90041,IndustrialClient_41,Automotive,Contact_41,client41@example.com,Pune,West Bengal,2025-03-23 00:01:32
CLNT90042,IndustrialClient_42,Marine,Contact_42,client42@example.com,Pune,Gujarat,2024-11-10 11:37:57
CLNT90043,IndustrialClient_43,Construction,Contact_43,client43@example.com,Kolkata,Maharashtra,2023-05-15 20:06:11
CLNT90044,IndustrialClient_44,Construction,Contact_44,client44@example.com,Jaipur,Tamil Nadu,2024-07-23 19:06:34
CLNT90045,IndustrialClient_45,Aerospace,Contact_45,client45@example.com,Delhi,Uttar Pradesh,2024-04-05 07:30:25
CLNT90046,IndustrialClient_46,Automotive,Contact_46,client46@example.com,Chennai,Uttar Pradesh,2023-09-10 01:29:56
CLNT90047,IndustrialClient_47,Construction,Contact_47,client47@example.com,Mumbai,Tamil Nadu,2024-08-08 15:48:08
