CUST_ID,CREDIT_CARD_NUMBER,BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE,DATE_OF_TXN
CC0001,2658827688150885,3464.37,639.39,518.8,6203.11,36314.44,3083.95,859.54,17,2024-07-07
CC0002,2807273586742805,42171.73,22440.56,12721.74,3323.29,85207.75,8117.77,2656.79,8,2024-10-03
CC0003,3712837900027363,39456.36,25248.46,23526.02,3421.56,69046.67,39333.0,13047.77,34,2023-09-14
CC0004,1437259849419228,28746.9,22145.25,14792.81,9853.97,66951.23,909.23,420.62,36,2024-05-06
CC0005,4940606783703939,19893.64,11280.92,8169.79,9373.64,68477.0,9115.31,1268.56,10,2023-07-18
CC0006,7392203075057026,42289.7,2196.48,1942.63,5646.31,90149.62,26024.0,3027.44,23,2023-03-29
CC0007,2160490189265003,48417.86,27491.5,1810.92,3798.56,93218.05,41668.02,7596.06,35,2024-04-06
CC0008,1135139592746816,8442.87,1729.42,897.35,8807.59,54930.86,5961.88,1655.49,8,2023-12-25
CC0009,7140692471123517,12212.07,7216.52,3547.88,1545.13,51343.03,11439.57,2462.05,25,2023-07-17
CC0010,7631310855604991,25183.75,9051.08,5975.39,6215.74,33274.36,11863.5,2939.18,10,2023-08-26
CC0011,1658647026016804,24301.82,6829.85,2808.96,6421.24,42263.31,16886.37,8026.7,7,2024-01-06
CC0012,4635415305386377,9092.31,2363.64,1762.43,6431.58,21371.96,7453.05,2428.81,27,2023-11-08
CC0013,6968512673908694,33645.16,22049.06,21841.25,4872.96,40512.95,5268.13,1976.76,11,2024-06-29
CC0014,4003532445768833,16727.27,6844.24,263.59,4793.63,45196.48,6568.03,3074.6,12,2024-04-20
CC0015,8868671971320923,38845.37,30624.34,28967.58,7181.86,65829.79,18397.98,9160.16,11,2024-05-06
CC0016,6723232907568188,38470.13,22111.72,7126.14,4713.85,56165.86,10214.19,2594.95,25,2024-02-28
CC0017,1901692109830924,43076.09,15689.61,14466.28,3077.62,66174.19,20912.25,9489.08,29,2023-02-22
CC0018,8936162227002616,22416.99,8192.29,6243.87,2207.63,55419.94,1370.9,350.61,14,2024-02-06
CC0019,0015516607289865,26167.66,6364.52,6254.62,5147.55,41248.73,11410.49,4127.49,34,2023-04-06
