EMPLOYEE_ID,EMPLOYEE_NAME,USERNAME,ROLE_NAME,STORE_ID,REGION,EMAIL,PHONE,JOINED_AT
E00001,Rohit Das,ROHITDAS380,MARKETING_ANALYST,S153,SOUTH,rohitdas380@falhari.in,910365354237,2019-10-15
E00002,Rahul Malhotra,RAHULMALHOTRA435,DATA_PRIVILEGED,S099,SOUTH,rahulmalhotra435@falhari.in,912267617479,2018-02-18
E00003,Rahul Khan,RAHULKHAN770,MARKETING_ANALYST,S043,NORTH,rahulkhan770@falhari.in,912420596425,2021-03-29
E00004,Swati Bose,SWATIBOSE546,STORE_MANAGER,S097,NORTH,swatibose546@falhari.in,914371960348,2023-06-13
E00005,Isha Iyer,ISHAIYER112,DATA_PRIVILEGED,S012,NORTH,ishaiyer112@falhari.in,911565399521,2019-01-28
E00006,Sanjay Rao,SANJAYRAO832,REGIONAL_MANAGER,S066,EAST,sanjayrao832@falhari.in,910150437908,2022-08-31
E00007,Pooja Sharma,POOJASHARMA544,OPERATIONS_EXEC,S062,NORTH,poojasharma544@falhari.in,915855836454,2023-01-11
E00008,Neha Pandey,NEHAPANDEY460,OPERATIONS_EXEC,S145,EAST,nehapandey460@falhari.in,917425429043,2022-04-25
E00009,Aditya Patel,ADITYAPATEL817,DATA_PRIVILEGED,S084,WEST,adityapatel817@falhari.in,916849785078,2022-11-01
E00010,Riya Patel,RIYAPATEL782,MARKETING_ANALYST,S060,SOUTH,riyapatel782@falhari.in,910815808678,2020-12-07
E00011,Neha Gupta,NEHAGUPTA111,OPERATIONS_EXEC,S057,EAST,nehagupta111@falhari.in,912467199927,2021-10-09
E00012,Ananya Mehta,ANANYAMEHTA450,STORE_MANAGER,S006,CENTRAL,ananyamehta450@falhari.in,910295963518,2023-06-14
E00013,Neha Bose,NEHABOSE57,MARKETING_ANALYST,S053,WEST,nehabose57@falhari.in,912093613014,2021-06-30
E00014,Meera Rao,MEERARAO810,STORE_MANAGER,S160,WEST,meerarao810@falhari.in,917294103675,2023-12-14
E00015,Amit Chopra,AMITCHOPRA582,REGIONAL_MANAGER,S040,NORTH,amitchopra582@falhari.in,918940117130,2020-10-14
E00016,Riya Sharma,RIYASHARMA634,DATA_PRIVILEGED,S026,SOUTH,riyasharma634@falhari.in,918467908773,2023-05-03
E00017,Karan Gupta,KARANGUPTA999,DATA_PRIVILEGED,S147,SOUTH,karangupta999@falhari.in,912759274601,2018-06-26
E00018,Amit Chopra,AMITCHOPRA653,OPERATIONS_EXEC,S167,SOUTH,amitchopra653@falhari.in,917740097018,2020-06-01
E00019,Vikram Khan,VIKRAMKHAN645,DATA_PRIVILEGED,S098,CENTRAL,vikramkhan645@falhari.in,911806108537,2018-06-17
E00020,Amit Mukherjee,AMITMUKHERJEE64,STORE_MANAGER,S026,SOUTH,amitmukherjee64@falhari.in,910222126839,2018-06-21
E00021,Sanjay Gupta,SANJAYGUPTA866,STORE_MANAGER,S032,CENTRAL,sanjaygupta866@falhari.in,911816934910,2022-04-14
E00022,Manish Malhotra,MANISHMALHOTRA631,OPERATIONS_EXEC,S123,EAST,manishmalhotra631@falhari.in,911014941163,2020-01-06
E00023,Pooja Singh,POOJASINGH762,REGIONAL_MANAGER,S093,WEST,poojasingh762@falhari.in,911964295861,2022-11-08
E00024,Manish Singh,MANISHSINGH112,STORE_MANAGER,S125,EAST,manishsingh112@falhari.in,910254496550,2019-10-06
E00025,Rahul Patel,RAHULPATEL923,STORE_MANAGER,S133,WEST,rahulpatel923@falhari.in,912548057595,2018-01-09
E00026,Ananya Das,ANANYADAS146,MARKETING_ANALYST,S167,SOUTH,ananyadas146@falhari.in,912633523175,2021-03-23
E00027,Aditya Bose,ADITYABOSE510,STORE_MANAGER,S176,NORTH,adityabose510@falhari.in,913202061392,2018-02-28
E00028,Isha Gupta,ISHAGUPTA797,OPERATIONS_EXEC,S107,CENTRAL,ishagupta797@falhari.in,917674482287,2018-02-14
E00029,Riya Mehta,RIYAMEHTA630,STORE_MANAGER,S012,NORTH,riyamehta630@falhari.in,914963096667,2022-11-25
E00030,Ananya Joshi,ANANYAJOSHI388,STORE_MANAGER,S162,NORTH,ananyajoshi388@falhari.in,912964991047,2019-05-19
E00031,Meera Das,MEERADAS842,OPERATIONS_EXEC,S084,WEST,meeradas842@falhari.in,914584465771,2020-10-01
E00032,Manish Gupta,MANISHGUPTA353,REGIONAL_MANAGER,S066,EAST,manishgupta353@falhari.in,912789328732,2019-12-12
E00033,Manish Chopra,MANISHCHOPRA437,MARKETING_ANALYST,S066,EAST,manishchopra437@falhari.in,918427494645,2021-01-31
E00034,Priya Mehta,PRIYAMEHTA914,STORE_MANAGER,S185,NORTH,priyamehta914@falhari.in,910214366594,2022-01-10
E00035,Karan Kulkarni,KARANKULKARNI567,REGIONAL_MANAGER,S056,CENTRAL,karankulkarni567@falhari.in,912345335668,2019-10-26
E00036,Vikram Pillai,VIKRAMPILLAI614,DATA_PRIVILEGED,S094,SOUTH,vikrampillai614@falhari.in,917549203980,2019-04-09
E00037,Karan Nair,KARANNAIR829,DATA_PRIVILEGED,S164,CENTRAL,karannair829@falhari.in,916191577014,2019-01-01
E00038,Sneha Iyer,SNEHAIYER365,OPERATIONS_EXEC,S028,SOUTH,snehaiyer365@falhari.in,916231539428,2018-10-28
E00039,Sneha Khan,SNEHAKHAN559,DATA_PRIVILEGED,S185,NORTH,snehakhan559@falhari.in,916509163975,2018-04-03
E00040,Neha Bose,NEHABOSE840,OPERATIONS_EXEC,S193,SOUTH,nehabose840@falhari.in,912151098100,2020-12-20
E00041,Kiran Nair,KIRANNAIR16,STORE_MANAGER,S036,WEST,kirannair16@falhari.in,917732065694,2019-08-22
E00042,Manish Malhotra,MANISHMALHOTRA644,REGIONAL_MANAGER,S142,CENTRAL,manishmalhotra644@falhari.in,910826326763,2019-02-16
E00043,Rohit Das,ROHITDAS253,STORE_MANAGER,S192,EAST,rohitdas253@falhari.in,910753987141,2020-12-26
